id,category,name,scope,standard,aliases,n_projects,n_links,projects,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2
electronics.omron-mouse-button-micro-switch,Electronics,Omron Mouse Button - Micro Switch,,,,9,4,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-0 voron-0.1 voron-1.8 voron-1.6.2 voron-2.2,3,3,1,2,,,,,,,,,3,3,3,3,3
electronics.omron-tl-q5mc2-npn-nc-5mm-sense,Electronics,"Omron TL-Q5MC2 - NPN, NC, 5mm Sense",,,,3,5,voron-trident voron-switchwire optional-parts,,1,,1,,,1,,,,,,,,,,
electronics.pl-08n-inductive-probe,Electronics,PL-08N Inductive Probe,,,,3,1,voron-1.8 voron-1.6.2 voron-2.2,,,,,,,,,,,,,,,1,1,1
electronics.power-supply-for-24v-conversions,Electronics,Power Supply for 24v Conversions,,,,1,1,optional-parts,,,,,,,1,,,,,,,,,,
electronics.pt100-rtd-sensor,Electronics,PT100 RTD Sensor,,,,1,2,optional-parts,,,,,,,Spare,,,,,,,,,,
electronics.raspberry-pi-3,Electronics,Raspberry Pi 3,,,Raspberry Pi 3 (or better),3,1,voron-0.2 voron-0 voron-0.1,,,1,,,,,,,,,,1,1,,,
electronics.skr-mini-e3-v2,Electronics,SKR Mini E3 V2,,,,1,1,voron-switchwire,,,,1,,,,,,,,,,,,,
electronics.small-12v-psu-for-lights-etc-for-24v-builds,Electronics,"Small 12v PSU for Lights, etc for 24v Builds",,,,1,2,optional-parts,,,,,,,1,,,,,,,,,,
electronics.ssr-din-mount,Electronics,SSR DIN Mount,,,,2,1,voron-trident voron-1.8,,1,,,,,,,,,,,,,1,,
electronics.tbc-05-terminal-cover-optional-for-rs-25-5,Electronics,"TBC-05 Terminal Cover (optional, for RS-25-5)",,,,1,1,voron-trident,,,,,,,,,,,,,,,,,
electronics.tbc-09-terminal-cover-optional-for-lrs-200-24,Electronics,"TBC-09 Terminal Cover (optional, for LRS-200-24)",,,,2,1,voron-trident voron-1.8,,1,,,,,,,,,,,,,1,,
electronics.thermal-fuse,Electronics,Thermal Fuse,,,,5,1,voron-2.4 voron-trident voron-1.8 voron-1.6.2 voron-2.2,1,1,,,,,,,,,,,,,1,1,1
electronics.thermistor-for-your-hotend-of-choice,Electronics,Thermistor for your hotend of choice,,,,3,1,voron-0.2 voron-0 voron-0.1,,,1,,,,,,,,,,1,1,,,
electronics.threaded-v6-hotend-kit-24v-all-metal,Electronics,Threaded v6 Hotend kit 24V (All Metal),,,,2,2,voron-0 voron-0.1,,,,,,,,,,,,,1,1,,,
electronics.tr8x8-lead-screw-nut,Electronics,TR8x8 Lead Screw Nut,,,,1,1,voron-1.6.2,,,,,,,,,,,,,,,,2,
electronics.tycoelectronics-10egg1-1-normal-or-10ehg1-1-medical-filtered-power-inlet,Electronics,TycoElectronics - 10EGG1-1 (Normal) or 10EHG1-1 (Medical): Filtered Power Inlet,,,,3,2,voron-2.4 voron-trident voron-switchwire,1,1,,1,,,,,,,,,,,,,
electronics.tycoelectronics-10egg1-2-normal-or-10ehg1-2-medical-filtered-power-inlet,Electronics,TycoElectronics - 10EGG1-2 (Normal) or 10EHG1-2 (Medical): Filtered Power Inlet,,,,6,2,voron-2.4 voron-trident voron-switchwire voron-1.8 voron-1.6.2 voron-2.2,1,1,,1,,,,,,,,,,,1,1,1
electronics.usb-cable-a-male-mini-b-male-1-included-with-skr-mini,Electronics,USB Cable A-male Mini B-male (1 Included with SKR Mini),,,,1,0,voron-switchwire,,,,2,,,,,,,,,,,,,
electronics.v0-display,Electronics,V0-Display,,,,1,2,voron-0.2,,,1,,,,,,,,,,,,,,
electronics.vhb-tape-20mm-or-so-is-good,Electronics,VHB tape (20mm or so is good),,,,2,2,voron-0 voron-0.1,,,,,,,,,,,,,1,1,,,
electronics.zf-rocker-switches-dpst-16a-on-off,Electronics,ZF - Rocker Switches DPST 16A ON-OFF,,,,6,2,voron-2.4 voron-trident voron-switchwire voron-1.8 voron-1.6.2 voron-2.2,1,1,,1,,,,,,,,,,,1,1,1
extruder.bmg-extruder-insides-5mmid,Extruder,BMG Extruder Insides 5mmID,,,,2,1,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
extruder.bmg-extruder-kit-used-for-gears,Extruder,BMG Extruder Kit (used for gears),,,,2,5,voron-trident voron-1.8,,1,,,,,,,,,,,,,1,,
extruder.bondtech-drive-gear-kit-5mmid,Extruder,Bondtech Drive Gear Kit 5mmID,,,,2,3,voron-0.2 voron-0.1,,,1,,,,,,,,,,,1,,,
extruder.bondtech-motor-gear-bowden-only,Extruder,Bondtech Motor Gear (bowden only),,,Bondtech Motor Gear,4,4,voron-0.2 afterburner voron-0 voron-0.1,,,1,,,,,,1,,,,1,1,,,
extruder.complete-bmg-extruder-clone,Extruder,Complete BMG Extruder Clone,,,,5,3,voron-0.2 stealthburner afterburner voron-0 voron-0.1,,,1,,,1,,,1,,,,1,1,,,
extruder.mr85-bearing,Extruder,MR85 Bearing,,,MR85 Bearings,4,2,voron-0.2 afterburner voron-0 voron-0.1,,,2,,,,,,2,,,,2,2,,,
extruder.shaft-idler-assembly,Extruder,Shaft/Idler Assembly,,,,4,4,voron-0.2 afterburner voron-0 voron-0.1,,,1,,,,,,1,,,,1,1,,,
fasteners.4-x-3-8-flat-head-self-tapping-screw,Fasteners,#4 x 3/8 Flat Head Self Tapping Screw,,,,1,2,voron-2.2,,,,,,,,,,,,,,,,,2
fasteners.10x16x0-2-shim-ring,Fasteners,10x16x0.2 Shim Ring,,DIN 988,,1,3,voron-2.2,,,,,,,,,,,,,,,,,4
fasteners.5x10x0-5-shim-ring,Fasteners,5x10x0.5 Shim Ring,,DIN 988,,1,3,voron-2.2,,,,,,,,,,,,,,,,,8
fasteners.5x10x1-shim-ring,Fasteners,5x10x1 Shim Ring,,DIN 988,,3,3,voron-2.4 voron-switchwire voron-2.2,42,,,19,,,,,,,,,,,,,26
fasteners.6x6x3-spacer,Fasteners,6x6x3 Spacer,,,,1,2,voron-switchwire,,,,,,,,,,,,,,,,,
fasteners.m2-x-12-or-13mm-plastite-self-tapping-screw,Fasteners,M2 x 12 or 13mm Plastite Self Tapping Screw,,,,1,2,mobius-3.1,,,,,,,,,,,2,,,,,,
fasteners.m2x10-self-tapping-screw-for-plastics,Fasteners,M2x10 Self Tapping Screw for Plastics,,,M2x10 Self Tapping Screws for Plastic | M2x10 self tapping screw | M2x10 Self Tapping Screws for Plastic (Pan Head),7,6,voron-2.4 voron-trident voron-0.2 voron-switchwire stealthburner voron-0 voron-0.1,15,17,30,8,,2,,,,,,,11,15,,,
fasteners.m2x12-self-tapping-screw-for-plastics,Fasteners,M2x12 Self Tapping Screw for Plastics,,,,2,2,voron-1.8 voron-2.2,,,,,,,,,,,,,,,2,,6
fasteners.m2x8-self-tapping-screw-for-plastics,Fasteners,M2x8 Self Tapping Screw for Plastics,,,,1,2,voron-2.2,,,,,,,,,,,,,,,,,18
fasteners.m3-hammer-head-t-nuts,Fasteners,M3 Hammer Head T-Nuts,,,M3 Hammerhead T-Nut,2,2,voron-2.4 voron-trident,47,55,,,,,,,,,,,,,,,
fasteners.m3-heat-set-insert-m3x5x4,Fasteners,M3 Heat Set Insert (M3x5x4),,,M3 Heat Set Inserts (M3x5x4) | M3 Threaded Insert | M3 Threaded Insert (M3x5mmx4mm) | M3 Brass heatstake inserts - short M3x5x4 | M3 Brass Heat Set Inserts - Short | M3 Threaded Inserts - short | M3 Brass Heatstake Inserts | M3 Brass Heatstake Inserts - Short (M3x5x4) | M3 Brass Heatset Inserts - Short M3x5x4,10,7,voron-2.4 voron-trident voron-0.2 voron-switchwire stealthburner afterburner voron-m4 voron-0 voron-0.1 voron-1.8,90,109,50,54,,19; 2,,,15,5,,,20,50,40,,
fasteners.m3-locknut,Fasteners,M3 Locknut,,DIN 985,M3 Lock Nut | M3 Hex Locknut,5,6,voron-trident mobius-3.1 jetpack voron-0.1 voron-2.2,,6,,,,,,,,,1,1,,5,,,4
fasteners.m3-roll-in-t-nut,Fasteners,M3 Roll-in T-Nut,,,,2,3,voron-trident voron-1.8,,86,,,,,,,,,,,,,41,,
fasteners.m3-t-nut-for-2020-extrusions,Fasteners,M3 T-nut (For 2020 extrusions),,,,1,2,voron-switchwire,,,,13,,,,,,,,,,,,,
fasteners.m3-t-nut-for-3030-extrusions,Fasteners,M3 T-nut (For 3030 extrusions),,,,1,0,voron-switchwire,,,,12,,,,,,,,,,,,,
fasteners.m3-t-nut-hntaj5-3,Fasteners,M3 T-nut HNTAJ5-3,,,,2,3,voron-2.4 voron-2.2,104-120,,,,,,,,,,,,,,,,120
fasteners.m3-thumb-screws,Fasteners,M3 Thumb Screws,,DIN466-B,,1,1,voron-1.8,,,,,,,,,,,,,,,3,,
fasteners.m3-washer,Fasteners,M3 Washer,,ISO 7089 / DIN 125,M3 washer,6,2,voron-2.4 voron-trident stealthburner voron-m4 voron-1.8 voron-2.2,2,4,,,,1,,,,2,,,,,9,,11
fasteners.m3x12-fhcs,Fasteners,M3x12 FHCS,,ISO 10642,,1,1,voron-switchwire,,,,9,,,,,,,,,,,,,
fasteners.m3x12-shcs,Fasteners,M3x12 SHCS,,ISO 4762 / DIN 912,,10,2,voron-2.4 voron-trident voron-switchwire stealthburner afterburner voron-m4 mobius-3.1 jetpack voron-1.8 voron-2.2,23,73,,12,,2,,,4,1,1,1,,,18,,42
fasteners.m3x16-shcs,Fasteners,M3x16 SHCS,,ISO 4762 / DIN 912,,8,2,voron-2.4 voron-trident voron-switchwire stealthburner afterburner voron-m4 voron-1.8 voron-2.2,20,27,,12,,2,,,4,2,,,,,15,,25
fasteners.m3x20-shcs,Fasteners,M3x20 SHCS,,ISO 4762 / DIN 912,,9,2,voron-2.4 voron-trident voron-switchwire stealthburner afterburner mobius-3.1 jetpack voron-1.8 voron-2.2,29,3,,3,,1,,,5,,1,5,,,7,,43
fasteners.m3x25-shcs,Fasteners,M3x25 SHCS,,ISO 4762 / DIN 912,,4,2,voron-switchwire stealthburner jetpack voron-2.2,,,,2,,6,,,,,,2,,,,,4
fasteners.m3x30-shcs,Fasteners,M3x30 SHCS,,ISO 4762 / DIN 912,,10,2,voron-2.4 voron-trident voron-switchwire stealthburner afterburner voron-m4 mobius-3.1 jetpack voron-1.8 voron-2.2,32,13,,28,,1,,,9,4,5,1,,,19,,8
fasteners.m3x40-shcs,Fasteners,M3x40 SHCS,,ISO 4762 / DIN 912,,6,2,voron-2.4 voron-trident voron-switchwire afterburner voron-1.8 voron-2.2,28,9,,7,,,,,2,,,,,,5,,28
fasteners.m3x6-bhcs,Fasteners,M3x6 BHCS,,ISO 7380-1,,12,4,voron-2.4 voron-trident voron-0.2 voron-switchwire stealthburner afterburner voron-m4 mobius-3.1 voron-0 voron-0.1 voron-1.8 voron-2.2,12,59,40,6,,1,,,1,5,5,,50,40,17,,12
fasteners.m3x6-fhcs,Fasteners,M3x6 FHCS,,ISO 10642 / DIN 7991,,4,2,voron-2.4 voron-trident voron-switchwire stealthburner,10,17,,16,,3,,,,,,,,,,,
fasteners.m3x6-shcs,Fasteners,M3x6 SHCS,,,,1,2,mobius-3.1,,,,,,,,,,,2,,,,,,
fasteners.m3x8-shcs,Fasteners,M3x8 SHCS,,ISO 4762 / DIN 912,,9,3,voron-2.4 voron-trident voron-switchwire stealthburner afterburner mobius-3.1 jetpack voron-1.8 voron-2.2,201-217,140@plus 12 per size up,,66,,2,,,9,,2,2,,,121,,150
fasteners.m4-knurled-nut,Fasteners,M4 knurled nut,,DIN 466-B,,1,0,voron-2.4,4,,,,,,,,,,,,,,,,
fasteners.m4-thumb-nuts,Fasteners,M4 Thumb Nuts,,,,1,2,voron-trident,,3,,,,,,,,,,,,,,,
fasteners.m4x6-bhcs,Fasteners,M4x6 BHCS,,ISO 7380-1,,4,2,voron-2.4 voron-trident voron-1.8 voron-2.2,7,7,,,,,,,,,,,,,5,,3
fasteners.m4x8-bhcs,Fasteners,M4x8 BHCS,,ISO 7380-1,,1,1,voron-switchwire,,,,4,,,,,,,,,,,,,
fasteners.m5-1-0mm-thick-shim-washer,Fasteners,M5 1.0mm Thick Shim/Washer,,DIN 988,,2,2,voron-trident voron-1.8,,24,,,,,,,,,,,,,20,,
fasteners.m5-heat-set-inserts-m5xd7xl6,Fasteners,M5 Heat Set Inserts (M5xD7xL6),,,,1,1,voron-trident,,15,,,,,,,,,,,,,,,
fasteners.m5-hexnut,Fasteners,M5 Hexnut,,ISO 4033 / DIN 934,M5 Nut,4,3,voron-2.4 voron-0 voron-1.8 voron-2.2,26,,,,,,,,,,,,2,,8,,2
fasteners.m5-locknut,Fasteners,M5 Locknut,,ISO 10511 / DIN 985,,1,2,voron-2.2,,,,,,,,,,,,,,,,,10
fasteners.m5-t-nut,Fasteners,M5 T-Nut,,,,2,3,voron-trident voron-1.8,,69,,,,,,,,,,,,,75,,
fasteners.m5-t-nut-for-2020-extrusions,Fasteners,M5 T-nut (For 2020 extrusions),,,,1,2,voron-switchwire,,,,12,,,,,,,,,,,,,
fasteners.m5-t-nut-for-3030-extrusions,Fasteners,M5 T-nut (For 3030 extrusions),,,,1,0,voron-switchwire,,,,52,,,,,,,,,,,,,
fasteners.m5-t-nut-hntaj5-5,Fasteners,M5 T-nut HNTAJ5-5,,,,2,3,voron-2.4 voron-2.2,61,,,,,,,,,,,,,,,,87
fasteners.m5x10-bhcs,Fasteners,M5x10 BHCS,,ISO 7380-1,,5,3,voron-2.4 voron-trident voron-switchwire voron-1.8 voron-2.2,40,45,,50,,,,,,,,,,,69,,60
fasteners.m5x16-bhcs,Fasteners,M5x16 BHCS,,ISO 7380-1,,5,3,voron-2.4 voron-trident voron-switchwire voron-1.8 voron-2.2,31,58,,12,,,,,,,,,,,44,,40
fasteners.m5x30-bhcs,Fasteners,M5x30 BHCS,,ISO 7380-1,,5,3,voron-2.4 voron-trident voron-switchwire voron-1.8 voron-2.2,22,4,,5,,,,,,,,,,,6,,10
fasteners.m5x40-bhcs,Fasteners,M5x40 BHCS,,ISO 7380-1,,1,2,voron-trident,,4,,,,,,,,,,,,,,,
fasteners.m5x40-shcs,Fasteners,M5x40 SHCS,,ISO 4762 / DIN 912,,4,2,voron-2.4 voron-switchwire voron-1.8 voron-2.2,25,,,6,,,,,,,,,,,8,,12
fasteners.m8x16-bhcs,Fasteners,M8x16 BHCS,,ISO 7380,,1,1,voron-switchwire,,,,8,,,,,,,,,,,,,
filament.primary-color-black,Filament,Primary Color (Black),,,Primary Color,8,2,voron-2.4 voron-trident voron-switchwire voron-m4 mobius-3.1 voron-1.8 voron-1.6.2 voron-2.2,2,2,,1,,,,,,1,1,,,,1,2,2
filament.secondary-color-red,Filament,Secondary Color (Red),,,Secondary Color,8,4,voron-2.4 voron-trident voron-switchwire voron-m4 mobius-3.1 voron-1.8 voron-1.6.2 voron-2.2,1,1,,1,,,,,,1,1,,,,1,1,1
frame.hfsb5-2020-150-tpw,Frame,HFSB5-2020-150-TPW,,,,1,1,voron-1.8,,,,,,,,,,,,,,,2@250x250x230,,
frame.hfsb5-2020-200-tpw,Frame,HFSB5-2020-200-TPW,,,,1,0,voron-1.8,,,,,,,,,,,,,,,2@300x300x230,,
frame.hfsb5-2020-230,Frame,HFSB5-2020-230,,,,1,1,voron-1.8,,,,,,,,,,,,,,,2@250x250x230; 2@300x300x230,,
