id,category,name,scope,standard,aliases,n_projects,n_links,projects,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2
motion.linear-rail-mgn12h-for-x-axis,Motion,Linear Rail MGN12H for X Axis,,,,1,4,voron-trident,,1@250x250 -> 300mm rails; 1@300x300 -> 350mm rails; 1@350x350 -> 400mm rails,,,,,,,,,,,,,,,
motion.linear-rail-mgn9h-see-configurator-for-length,Motion,Linear Rail MGN9H ** See Configurator for length **,,,,3,3,voron-2.4 voron-1.8 voron-2.2,6@250; 6@300; 6@350,,,,,,,,,,,,,,4@250x250 -> 300mm rails; 4@300x300 -> 350mm rails,,7@250; 7@300; 7@350
motion.linear-rail-mgn9h-for-y-axis,Motion,Linear Rail MGN9H for Y Axis,,,,1,2,voron-trident,,2@250x250 -> 300mm rails; 2@300x300 -> 350mm rails; 2@350x350 -> 400mm rails,,,,,,,,,,,,,,,
motion.linear-rail-mgn9h-for-z-axis,Motion,Linear Rail MGN9H for Z Axis,,,,1,0,voron-trident,,3@All builds -> 300mm rails,,,,,,,,,,,,,,,
motion.linear-rods-psfj8-320,Motion,Linear Rods (PSFJ8-320),,,,1,1,voron-1.6.2,,,,,,,,,,,,,,,,8,
motion.linear-rods-8mm-320mm-long-for-230mm-z,Motion,"Linear Rods - 8mm, 320mm Long (for 230mm Z)",,,,1,1,voron-1.8,,,,,,,,,,,,,,,4,,
motion.mgn7h-linear-rail-with-carriage-150mm,Motion,MGN7H Linear Rail with Carriage (150mm),,,,3,2,voron-0.2 voron-0 voron-0.1,,,5,,,,,,,,,,5,5,,,
motion.mr115-2rs-bearing,Motion,MR115-2RS Bearing,,,,1,2,jetpack,,,,,,,,,,,,3,,,,,
motion.mr128-2rs-bearing,Motion,MR128-2RS Bearing,,,,1,2,jetpack,,,,,,,,,,,,1,,,,,
motion.t8-flange-nut-8mm-lead-anti-backlash-prefered-see-note-section,Motion,T8 flange Nut 8mm Lead --anti-backlash prefered-- (SEE NOTE SECTION),,,,3,3,voron-0.2 voron-0 voron-0.1,,,1,,,,,,,,,,1,1,,,
panels.deck-front-deck-back-mid-panel-3mm-thick.voron-0,Panels,"(Deck front,Deck back, Mid panel) 3mm thick",voron-0,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
panels.deck-panel-mid-panel-motor-panel-rear-panel-3mm-thick.voron-0.1,Panels,"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick",voron-0.1,,,1,1,voron-0.1,,,,,,,,,,,,,,1,,,
panels.deck-panel-mid-panel-motor-panel-rear-panel-3mm-thick-drawings-and-dxf-on-github.voron-0.2,Panels,"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick (drawings and dxf on github)",voron-0.2,,,1,1,voron-0.2,,,1,,,,,,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-2.4,Panels,Bottom/Back/Electronics Bay Panels,voron-2.4,,,1,2,voron-2.4,3,,,,,,,,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-1.8,Panels,Bottom/Back/Electronics Bay Panels,voron-1.8,,,1,2,voron-1.8,,,,,,,,,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-1.6.2,Panels,Bottom/Back/Electronics Bay Panels,voron-1.6.2,,,1,2,voron-1.6.2,,,,,,,,,,,,,,,,3,
panels.bottom-back-electronics-bay-panels.voron-2.2,Panels,Bottom/Back/Electronics Bay Panels,voron-2.2,,,1,2,voron-2.2,,,,,,,,,,,,,,,,,3
panels.deck-bottom-and-back-panels.voron-trident,Panels,"Deck, Bottom and Back Panels",voron-trident,,,1,3,voron-trident,,,,,,,,,,,,,,,,,
panels.front-door-212mm-x-239mm-x-2-5mm-pc-or-acrylic.voron-0,Panels,Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),voron-0,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
panels.front-door-212mm-x-239mm-x-2-5mm-pc-or-acrylic.voron-0.1,Panels,Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),voron-0.1,,,1,1,voron-0.1,,,,,,,,,,,,,,1,,,
panels.front-door-212mm-x-239mm-x-3mm-pc-or-acrylic.voron-0.2,Panels,Front Door 212mm x 239mm x 3mm (PC or Acrylic),voron-0.2,,,1,1,voron-0.2,,,1,,,,,,,,,,,,,,
panels.opaque-enclosure-panels.voron-switchwire,Panels,Opaque Enclosure Panels,voron-switchwire,,,1,1,voron-switchwire,,,,6,,,,,,,,,,,,,
panels.rear-panel-212mm-x-248mm-whatever-material-you-want.voron-0.2,Panels,Rear Panel 212mm x 248mm (whatever material you want),voron-0.2,,,1,1,voron-0.2,,,1,,,,,,,,,,,,,,
panels.rear-panel-212mm-x-248mm-whatever-material-you-want.voron-0.1,Panels,Rear Panel 212mm x 248mm (whatever material you want),voron-0.1,,,1,1,voron-0.1,,,,,,,,,,,,,,1,,,
panels.rear-panel-212mm-x-248mm-x-2-5mm-whatever-material-you-want.voron-0,Panels,Rear Panel 212mm x 248mm x 2.5mm (whatever material you want),voron-0,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
panels.side-panel-212mm-x-230mm-x-2-5mm-pc-or-acrylic.voron-0,Panels,Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),voron-0,,,1,1,voron-0,,,,,,,,,,,,,2,,,,
panels.side-panel-212mm-x-230mm-x-2-5mm-pc-or-acrylic.voron-0.1,Panels,Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),voron-0.1,,,1,1,voron-0.1,,,,,,,,,,,,,,2,,,
panels.side-panel-212mm-x-230mm-x-3mm-pc-or-acrylic.voron-0.2,Panels,Side Panel 212mm x 230mm x 3mm (PC or Acrylic),voron-0.2,,,1,1,voron-0.2,,,2,,,,,,,,,,,,,,
panels.side-front-top-acrylic-panels.voron-2.4,Panels,Side/Front/Top Acrylic Panels,voron-2.4,,,1,1,voron-2.4,4,,,,,,,,,,,,,,,,
panels.side-front-top-acrylic-panels.voron-switchwire,Panels,Side/Front/Top Acrylic Panels,voron-switchwire,,,1,0,voron-switchwire,,,,5,,,,,,,,,,,,,
panels.side-front-top-polycarbonate-panels.voron-trident,Panels,Side/Front/Top Polycarbonate Panels,voron-trident,,,1,2,voron-trident,,,,,,,,,,,,,,,,,
panels.side-front-top-polycarbonate-panels.voron-1.8,Panels,Side/Front/Top Polycarbonate Panels,voron-1.8,,,1,1,voron-1.8,,,,,,,,,,,,,,,,,
panels.side-front-top-polycarbonate-panels.voron-2.2,Panels,Side/Front/Top Polycarbonate Panels,voron-2.2,,,1,1,voron-2.2,,,,,,,,,,,,,,,,,4
panels.tophat-panels.voron-0.2,Panels,TopHat Panels,voron-0.2,,,1,1,voron-0.2,,,1,,,,,,,,,,,,,,
panels.tophat-panels.voron-0.1,Panels,TopHat Panels,voron-0.1,,,1,1,voron-0.1,,,,,,,,,,,,,,1,,,
panels.tophat-panels-optional.voron-0,Panels,TopHat Panels (OPTIONAL),voron-0,,,1,1,voron-0,,,,,,,,,,,,,1,,,,
printed-parts.printed-parts,Printed Parts,Printed Parts,,,,11,1,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-m4 mobius-3.1 voron-0 voron-0.1 voron-1.8 voron-1.6.2 voron-2.2,1,1,1,1,,,,,,1,1,,1,1,1,1,1
tools.6in-digital-calipers,Tools,6in Digital Calipers,,,,1,3,tools,,,,,,,,1,,,,,,,,,
tools.auto-adjusting-wire-strippers,Tools,Auto Adjusting - Wire Strippers,,,,1,2,tools,,,,,,,,1,,,,,,,,,
tools.center-punch,Tools,Center Punch,,,,1,2,tools,,,,,,,,1,,,,,,,,,
tools.deburring-tool,Tools,Deburring Tool,,,,1,2,tools,,,,,,,,1,,,,,,,,,
tools.engineer-pa-09-crimping-tool,Tools,Engineer PA-09 Crimping Tool,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.ferrule-crimping-tool,Tools,Ferrule Crimping Tool,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.flush-wire-cutters,Tools,Flush Wire Cutters,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.hex-ball-driver-kit,Tools,Hex Ball Driver Kit,,,,1,2,tools,,,,,,,,1,,,,,,,,,
tools.loctite-641-or-609-shaft-retaining-compound-medium-strength-good-to-300f,Tools,"Loctite 641 or 609 - Shaft Retaining Compound - Medium Strength, Good to 300F",,,,1,2,tools,,,,,,,,1,,,,,,,,,
tools.m5-tap,Tools,M5 Tap,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.m6-tap,Tools,M6 Tap,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.microfit-depinning-tool,Tools,Microfit Depinning Tool,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.nlgi1-or-2-grease-eg-mobilux-ep1-ep2-polyrex-222-shc-220,Tools,"NLGI1 or 2 Grease eg:Mobilux EP1/EP2, Polyrex 222, SHC 220",,,,1,0,tools,,,,,,,,1,,,,,,,,,
tools.ratcheting-wire-terminal-crimper,Tools,Ratcheting Wire Terminal Crimper,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.small-screwdriver-kit-xiaomi-wiha-set,Tools,Small Screwdriver Kit - Xiaomi Wiha set,,,,1,1,tools,,,,,,,,1,,,,,,,,,
tools.tap-handle-for-tap,Tools,Tap Handle - For Tap,,,,1,1,tools,,,,,,,,1,,,,,,,,,
vibration-management.astrosyn-dampener,Vibration Management,Astrosyn Dampener,,,,2,1,mobius-3.1 voron-2.2,,,,,,,,,,,1,,,,,,2
vibration-management.rubber-compressor-foot,Vibration Management,Rubber Compressor Foot,,,,4,3,voron-2.4 voron-switchwire voron-1.8 voron-2.2,4,,,4,,,,,,,,,,,4,,4
vibration-management.rubber-foot,Vibration Management,Rubber Foot,,,,1,3,voron-trident,,4,,,,,,,,,,,,,,,
misc.the-2-x-guides-should-have-the-rest-of-the-required-parts,,The 2.x guides should have the rest of the required parts,,,,1,0,voron-1.6.2,,,,,,,,,,,,,,,,,
