name_similarity,shared_links,id_a,name_a,projects_a,id_b,name_b,projects_b,urls
0.71,1,fasteners.m2x12-self-tapping-screw-for-plastics,M2x12 Self Tapping Screw for Plastics,voron-1.8 voron-2.2,hardware.m2x8mm-self-tapping-screw,M2x8mm Self Tapping Screw,jetpack,https://www.aliexpress.com/item/32748428213.html
0.71,2,cables.dupont-female-pin,Dupont Female Pin,voron-trident voron-1.8 voron-2.2,cables.jst-xh-female-pin,JST-XH Female Pin,voron-2.4 voron-trident voron-switchwire voron-1.8,https://www.amazon.com/dp/B01G0I0ZZK | https://www.digikey.com/product-detail/en/amphenol-icc-fci/47649-000LF/609-3614-1-ND/2044035
0.70,2,motion.gt2-open-belt-ll-2gt-6-6mm-wide,GT2 Open Belt LL-2GT-6 (6mm wide),voron-trident voron-1.8,motion.gt2-open-belt-ll-2gt-6-6mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,voron-2.4 voron-2.2,https://shop.sdp-si.com/catalog/product?id=A_6R51MC060 | https://www.aliexpress.com/item/32853559638.html
0.70,1,hardware.m2x6-bhcs-shcs,M2x6 BHCS/SHCS,voron-0.1,hardware.m2x8-shcs,M2x8 SHCS,voron-0.2 voron-0 voron-0.1,https://www.boltdepot.com/Metric_socket_cap_Class_12.9_alloy_steel_black_oxide_finish_2mm_x_0.4mm.aspx
0.67,2,motion.f695-2rs,F695 2RS,voron-m4 mobius-3.1,motion.f695-2rs-bearing,F695 2RS Bearing,voron-2.4 voron-switchwire voron-2.2,https://www.aliexpress.com/item/32850989216.html | https://www.aliexpress.com/item/33001186278.html
0.67,2,motion.gt2-open-belt-ll-2gt-6-6mm-wide-1500mm,GT2 Open Belt LL-2GT-6 (6mm wide) - 1500mm,voron-switchwire,motion.gt2-open-belt-ll-2gt-6-6mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,voron-2.4 voron-2.2,https://shop.sdp-si.com/catalog/product?id=A_6R51MC060 | https://www.aliexpress.com/item/32987817703.html
0.67,1,electronics.bigtreetech-skr-mini-e3-v1-2-or-v2,Bigtreetech SKR mini E3 (v1.2 or v2),voron-0,electronics.bigtreetech-skr-pico,Bigtreetech SKR Pico,voron-0.2,https://www.aliexpress.com/item/33042554065.html
0.67,1,fasteners.m5-hexnut,M5 Hexnut,voron-2.4 voron-0 voron-1.8 voron-2.2,hardware.m2-nut,M2 Nut,voron-0.2 voron-0 voron-0.1,https://www.boltdepot.com/Metric_hex_nuts_Stainless_steel_18-8_(A-2).aspx
0.67,1,hardware.m2-nut,M2 Nut,voron-0.2 voron-0 voron-0.1,hardware.m3-hexnut,M3 Hexnut,voron-2.4 voron-0.2 voron-switchwire afterburner mobius-3.1 jetpack voron-0 voron-0.1 voron-1.8 voron-2.2,https://www.boltdepot.com/Metric_hex_nuts_Stainless_steel_18-8_(A-2).aspx
0.67,1,vibration-management.rubber-compressor-foot,Rubber Compressor Foot,voron-2.4 voron-switchwire voron-1.8 voron-2.2,vibration-management.rubber-foot,Rubber Foot,voron-trident,https://www.aliexpress.com/item/32996184575.html
0.64,1,fasteners.m3-thumb-screws,M3 Thumb Screws,voron-1.8,fasteners.m4-thumb-nuts,M4 Thumb Nuts,voron-trident,https://www.aliexpress.com/item/4000010655936.html
0.64,1,fasteners.m5-t-nut,M5 T-Nut,voron-trident voron-1.8,fasteners.m5-t-nut-hntaj5-5,M5 T-nut HNTAJ5-5,voron-2.4 voron-2.2,https://us.misumi-ec.com/vona2/detail/110302247910
0.64,1,controller.bigtree-skr-1-4,Bigtree SKR 1.4,optional-parts,controller.skr-1-4,SKR 1.4,voron-2.4 voron-1.8,https://www.aliexpress.com/item/4000470048293.html
0.62,2,fasteners.m2-x-12-or-13mm-plastite-self-tapping-screw,M2 x 12 or 13mm Plastite Self Tapping Screw,mobius-3.1,fasteners.m2x12-self-tapping-screw-for-plastics,M2x12 Self Tapping Screw for Plastics,voron-1.8 voron-2.2,https://www.aliexpress.com/item/32748428213.html | https://www.mcmaster.com/99397A269/
0.62,1,misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",voron-switchwire jetpack,misc.bowden-tube-4mm-od-3mm-id-optional-for-reverse-bowden,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",voron-switchwire,https://s.click.aliexpress.com/e/5OVtqbtq
0.61,2,motion.linear-rail-mgn12h-see-configurator-for-length,Linear Rail MGN12H ** See Configurator for length **,voron-2.4,motion.linear-rail-mgn12h-for-x-axis,Linear Rail MGN12H for X Axis,voron-trident,"https://www.robotdigg.com/product/1314/Black-anodized-linear-rail-7,-9,-12-and-15 | https://www.zyltech.com/zyltech-mgn12-h-type-linear-rail-with-single-or-double-carriage-block"
0.61,1,bowden.bowden-tube-4mm-od-3mm-id,Bowden Tube 4mm OD/3mm ID,jetpack,misc.bowden-tube,Bowden Tube,voron-trident mobius-3.1 voron-1.8 voron-2.2,https://www.aliexpress.com/item/32433845259.html
0.61,1,misc.bowden-tube,Bowden Tube,voron-trident mobius-3.1 voron-1.8 voron-2.2,misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",voron-switchwire jetpack,https://www.aliexpress.com/item/32433845259.html
0.61,3,electronics.nema17-motor-17hs19-2004s,NEMA17 Motor 17HS19-2004S,voron-2.4 mobius-3.1 voron-1.8 voron-1.6.2 voron-2.2,electronics.nema17-motor-17hs19-2004s-min-35mm-shaft-for-double-shear,NEMA17 Motor 17HS19-2004S (min 35mm shaft for double shear),voron-trident,https://www.aliexpress.com/item/32572890101.html | https://www.amazon.com/dp/B00PNEQKC0 | https://www.omc-stepperonline.com/nema-17-bipolar-59ncm-84oz-in-2a-42x48mm-4-wires-w-1m-cable-and-connector.html
0.60,2,motion.linear-rail-mgn9h-see-configurator-for-length,Linear Rail MGN9H ** See Configurator for length **,voron-2.4 voron-1.8 voron-2.2,motion.linear-rail-mgn9h-for-y-axis,Linear Rail MGN9H for Y Axis,voron-trident,https://www.aliexpress.com/item/32773296501.html | https://www.zyltech.com/zyltech-mgn9-linear-rail-with-single-or-double-carriage-block
0.60,2,motion.f695-2rs,F695 2RS,voron-m4 mobius-3.1,motion.f695-bearing,F695 Bearing,voron-1.8,https://www.aliexpress.com/item/32850989216.html | https://www.aliexpress.com/item/33001186278.html
0.60,1,misc.bowden-tube,Bowden Tube,voron-trident mobius-3.1 voron-1.8 voron-2.2,misc.ptfe-tube,PTFE Tube,stealthburner,https://www.aliexpress.com/item/1005001408141263.html
0.60,1,panels.bottom-back-electronics-bay-panels.voron-1.8,Bottom/Back/Electronics Bay Panels,voron-1.8,panels.deck-bottom-and-back-panels.voron-trident,"Deck, Bottom and Back Panels",voron-trident,https://www.mnlasercutting.com/
0.59,1,fasteners.m2-x-12-or-13mm-plastite-self-tapping-screw,M2 x 12 or 13mm Plastite Self Tapping Screw,mobius-3.1,fasteners.m2x10-self-tapping-screw-for-plastics,M2x10 Self Tapping Screw for Plastics,voron-2.4 voron-trident voron-0.2 voron-switchwire stealthburner voron-0 voron-0.1,https://www.aliexpress.com/item/32748428213.html
0.59,1,controller.tmc2209-stepper-motor-driver,TMC2209 Stepper Motor Driver,voron-2.4,controller.tmc2209-stepsticks-for-skr-1-3,TMC2209 Stepsticks for SKR 1.3,optional-parts,https://www.amazon.com/dp/B07W5S3KVF
0.58,1,electronics.ac-inlet,AC Inlet,voron-0.1,electronics.iec320-c14-inlet,IEC320 C14 inlet,voron-0.2,https://www.digikey.com/en/products/detail/adam-tech/IEC-GS-1-100/9831135
0.58,1,fasteners.m3-roll-in-t-nut,M3 Roll-in T-Nut,voron-trident voron-1.8,fasteners.m5-t-nut,M5 T-Nut,voron-trident voron-1.8,https://us.misumi-ec.com/vona2/detail/110302247910
0.57,3,electronics.4010-axial-fan,4010 Axial Fan,stealthburner,electronics.40x40x10-axial-fan-ball-bearing-24v,40x40x10 Axial Fan - Ball Bearing (24V),voron-2.4 voron-trident voron-switchwire afterburner voron-1.8,https://s.click.aliexpress.com/e/_d8MBoAW | https://www.aliexpress.com/item/32727867521.html | https://www.amazon.com/dp/B07WWJF4LG
0.57,1,motion.linear-rail-mgn12h-for-x-axis,Linear Rail MGN12H for X Axis,voron-trident,motion.linear-rail-mgn9h-see-configurator-for-length,Linear Rail MGN9H ** See Configurator for length **,voron-2.4 voron-1.8 voron-2.2,"https://www.robotdigg.com/product/1314/Black-anodized-linear-rail-7,-9,-12-and-15"
0.57,1,motion.gt2-20t-6mm-wide-pulley-5mm-bore,GT2 20T (6mm wide) Pulley (5mm bore),voron-2.4 voron-trident voron-0.2 voron-switchwire voron-m4 mobius-3.1 voron-0 voron-0.1 voron-1.8 voron-2.2,motion.gt2-belt-loop-6mm-wide-188mm,GT2 Belt Loop (6mm wide) - 188mm,voron-2.4 voron-m4 mobius-3.1 voron-2.2,https://shop.sdp-si.com/catalog/product?id=A+6R51M094060
0.56,1,fasteners.m3-t-nut-hntaj5-3,M3 T-nut HNTAJ5-3,voron-2.4 voron-2.2,fasteners.m5-t-nut,M5 T-Nut,voron-trident voron-1.8,https://us.misumi-ec.com/vona2/detail/110302247910
0.54,1,motion.linear-rail-mgn12h-300mm,Linear Rail MGN12H (300mm),voron-switchwire,motion.linear-rail-mgn12h-see-configurator-for-length,Linear Rail MGN12H ** See Configurator for length **,voron-2.4,https://www.zyltech.com/zyltech-mgn12-h-type-linear-rail-with-single-or-double-carriage-block
0.54,1,electronics.nema17-motor-17hs08-1004s,NEMA17 Motor 17HS08-1004S,voron-trident afterburner jetpack voron-1.8,electronics.nema17-motor-17hs19-2004s-min-35mm-shaft-for-double-shear,NEMA17 Motor 17HS19-2004S (min 35mm shaft for double shear),voron-trident,https://docs.ldomotors.com/en/voron/LDO_Voron_Distributors
0.53,2,misc.6mm-x-3mm-round-neodymium-magnets,6mm x 3mm Round Neodymium Magnets,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-0 voron-0.1,misc.6x3mm-magnet,6x3mm Magnet,stealthburner,https://www.aliexpress.com/item/1005001418808468.html | https://www.aliexpress.com/item/32951137017.html
0.53,1,filament.primary-color-black,Primary Color (Black),voron-2.4 voron-trident voron-switchwire voron-m4 mobius-3.1 voron-1.8 voron-1.6.2 voron-2.2,filament.secondary-color-red,Secondary Color (Red),voron-2.4 voron-trident voron-switchwire voron-m4 mobius-3.1 voron-1.8 voron-1.6.2 voron-2.2,https://www.villageplastics.com/product/abs
0.48,1,electronics.iec320-c14-inlet,IEC320 C14 inlet,voron-0.2,electronics.iec320-c14-inlet-push-fit-w-rocker-switch-fuse,IEC320 C14 Inlet - Push-fit - w/ Rocker Switch & Fuse,voron-2.4 voron-switchwire,https://www.digikey.com/en/products/detail/adam-tech/IEC-GS-1-100/9831135
0.48,1,fasteners.m3-roll-in-t-nut,M3 Roll-in T-Nut,voron-trident voron-1.8,fasteners.m3-t-nut-hntaj5-3,M3 T-nut HNTAJ5-3,voron-2.4 voron-2.2,https://us.misumi-ec.com/vona2/detail/110302247910
0.48,1,controller.raspberrypi3-b,RaspberryPi3 B+,voron-1.6.2,controller.raspberrypi3-b-dont-get-a-4-they-have-issues,"RaspberryPi3 B+ (dont get a 4, they have issues)",voron-2.2,https://www.arrow.com/en/products/raspberrypi3b/raspberry-pi-foundation
0.48,1,extruder.bmg-extruder-kit-used-for-gears,BMG Extruder Kit (used for gears),voron-trident voron-1.8,extruder.complete-bmg-extruder-clone,Complete BMG Extruder Clone,voron-0.2 stealthburner afterburner voron-0 voron-0.1,https://www.aliexpress.com/item/32917029058.html
0.48,1,fasteners.5x10x1-shim-ring,5x10x1 Shim Ring,voron-2.4 voron-switchwire voron-2.2,fasteners.m5-1-0mm-thick-shim-washer,M5 1.0mm Thick Shim/Washer,voron-trident voron-1.8,https://www.mcmaster.com/98055A099/
0.47,1,cables.ptfe-wire-20gauge-10ft,PTFE Wire 20gauge 10ft,voron-0.2 voron-0.1,cables.ptfe-wire-22gauge-100ft-get-5m-of-6-colors-for-30m-total-tin-plated,"PTFE Wire 22gauge 100ft (get 5m of 6 colors for 30m total, tin plated)",voron-0.2 voron-0.1,https://s.click.aliexpress.com/e/_AfncFO
0.46,1,hardware.bmg-extruder-insides,BMG Extruder Insides,stealthburner afterburner voron-0,misc.bmg-extruder-hardware-kit-if-configured-with-direct-feed,BMG Extruder Hardware Kit (if configured with direct feed),voron-2.4 voron-switchwire,https://www.aliexpress.com/item/4000021186440.html
0.42,1,fasteners.m3-roll-in-t-nut,M3 Roll-in T-Nut,voron-trident voron-1.8,fasteners.m5-t-nut-hntaj5-5,M5 T-nut HNTAJ5-5,voron-2.4 voron-2.2,https://us.misumi-ec.com/vona2/detail/110302247910
0.42,2,motion.f695-bearing,F695 Bearing,voron-1.8,motion.f695-bearing-add-two-for-stepper-double-shear,F695 Bearing (add two for stepper double shear),voron-trident,https://www.aliexpress.com/item/32850989216.html | https://www.aliexpress.com/item/33001186278.html
0.39,2,motion.f695-2rs-bearing,F695 2RS Bearing,voron-2.4 voron-switchwire voron-2.2,motion.f695-bearing-add-two-for-stepper-double-shear,F695 Bearing (add two for stepper double shear),voron-trident,https://www.aliexpress.com/item/32850989216.html | https://www.aliexpress.com/item/33001186278.html
