item_id,item_name,category,project,project_status,text_only_sources
controller.microsd-card,MicroSD Card,Controller,voron-0.2,current,
controller.microsd-card,MicroSD Card,Controller,voron-0,legacy,
controller.microsd-card,MicroSD Card,Controller,voron-0.1,legacy,
controller.ramps-1-4,RAMPs 1.4,Controller,voron-2.2,legacy,
controller.raspberrypi4,RaspberryPi4,Controller,voron-switchwire,current,
controller.tmc-2209-drivers,TMC 2209 Drivers,Controller,voron-trident,current,
controller.usb-c-power-cable,USB C Power Cable,Controller,voron-switchwire,current,
controller.usb-cable-a-male-b-male,USB Cable A-male B-male,Controller,voron-1.6.2,legacy,
controller.usb-cable-a-male-b-male,USB Cable A-male B-male,Controller,voron-2.2,legacy,
controller.usb-cable-a-male-b-male-included-with-skr,USB Cable A-male B-male (Included with SKR),Controller,voron-2.4,current,
electronics.50x50x15-centrifugal-fan,50x50x15 Centrifugal Fan,Electronics,stealthburner,current,
electronics.50x50x15-centrifugal-fan-24v,50x50x15 Centrifugal Fan (24V),Electronics,voron-trident,current,
electronics.bat85-diode,BAT85 Diode,Electronics,voron-switchwire,current,not needed
electronics.c13-power-cord,C13 Power Cord,Electronics,voron-0.2,current,
electronics.c13-power-cord,C13 Power Cord,Electronics,voron-0.1,legacy,
electronics.fuse-medium-time-delay-acting-8a-250v-holder-cartridge-5-x-20mm-glass,Fuse Medium Time Delay Acting 8A 250V Holder Cartridge 5 X 20mm Glass,Electronics,voron-switchwire,current,
electronics.harness-for-adxl-sensor-module,Harness for ADXL Sensor Module,Electronics,stealthburner,current,
electronics.iec320-c14-inlet-push-fit-w-rocker-switch-fuse,IEC320 C14 Inlet - Push-fit - w/ Rocker Switch & Fuse,Electronics,voron-switchwire,current,
electronics.mean-well-lrs-350-24-psu,Mean Well LRS-350-24 PSU,Electronics,voron-switchwire,current,X
electronics.meanwell-rs-25-5-psu,Meanwell RS-25-5 PSU,Electronics,voron-switchwire,current,
electronics.mosfet-trigger-switch-drive-module,MOSFET Trigger Switch Drive Module,Electronics,voron-switchwire,current,
electronics.neopixel-rgbw-mini-button-pcb,NeoPixel RGBW Mini Button PCB,Electronics,stealthburner,current,
electronics.omron-mouse-button-micro-switch,Omron Mouse Button - Micro Switch,Electronics,voron-switchwire,current,
electronics.usb-cable-a-male-mini-b-male-1-included-with-skr-mini,USB Cable A-male Mini B-male (1 Included with SKR Mini),Electronics,voron-switchwire,current,
fasteners.m3-t-nut-for-3030-extrusions,M3 T-nut (For 3030 extrusions),Fasteners,voron-switchwire,current,
fasteners.m3x6-fhcs,M3x6 FHCS,Fasteners,stealthburner,current,
fasteners.m4-knurled-nut,M4 knurled nut,Fasteners,voron-2.4,current,
fasteners.m5-hexnut,M5 Hexnut,Fasteners,voron-1.8,legacy,
fasteners.m5-hexnut,M5 Hexnut,Fasteners,voron-2.2,legacy,
fasteners.m5-t-nut-for-3030-extrusions,M5 T-nut (For 3030 extrusions),Fasteners,voron-switchwire,current,
filament.primary-color-black,Primary Color (Black),Filament,voron-trident,current,
filament.secondary-color-red,Secondary Color (Red),Filament,voron-trident,current,
frame.hfsb5-2020-200-tpw,HFSB5-2020-200-TPW,Frame,voron-1.8,legacy,
frame.hfsb5-2020-290,HFSB5-2020-290,Frame,voron-1.8,legacy,
frame.hfsb5-2020-380,HFSB5-2020-380,Frame,voron-1.8,legacy,
frame.hfsb5-2020-420,HFSB5-2020-420,Frame,voron-1.8,legacy,
frame.hfsb5-2020-420-ah45-bh375,HFSB5-2020-420-AH45-BH375,Frame,voron-1.8,legacy,
frame.hfsb5-2020-420-tpw,HFSB5-2020-420-TPW,Frame,voron-1.8,legacy,
