name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
Silicone AC 120V/240V Heater 100x100mm 100W,1,1,1,1,Silicone AC 120V/240V Heater 100x100mm 100W,voron-0
Silicone AC Heater 250x250mm,1,1,1,1,Silicone AC Heater 250x250mm,voron-2.4
"Small 12v PSU for Lights, etc for 24v Builds",1,1,1,1,"Small 12v PSU for Lights, etc for 24v Builds",optional-parts
Small Screwdriver Kit - Xiaomi Wiha set,1,1,1,1,Small Screwdriver Kit - Xiaomi Wiha set,tools
Spring Steel Bed Kit with PEI and Magnet,1,1,1,1,Spring Steel Bed Kit with PEI and Magnet,optional-parts
Spring Steel Sheet for Prusa MK52 Bed (included with TL Heated Bed),1,1,1,1,Spring Steel Sheet for Prusa MK52 Bed (included with TL Heated Bed),voron-switchwire
"TBC-05 Terminal Cover (optional, for RS-25-5)",1,1,1,1,"TBC-05 Terminal Cover (optional, for RS-25-5)",voron-trident
TMC2209 Stepper Motor Driver,1,1,1,1,TMC2209 Stepper Motor Driver,voron-2.4
TMC2209 Stepsticks for SKR 1.3,1,1,1,1,TMC2209 Stepsticks for SKR 1.3,optional-parts
TR8x8 Lead Screw Nut,1,1,1,1,TR8x8 Lead Screw Nut,voron-1.6.2
Tap Handle - For Tap,1,1,1,1,Tap Handle - For Tap,tools
The 2.x guides should have the rest of the required parts,1,1,1,1,The 2.x guides should have the rest of the required parts,voron-1.6.2
Thermal Fuse 150C,1,1,1,1,Thermal Fuse 150C,voron-0.2
TopHat Panels,1,1,1,1,TopHat Panels,voron-0.2
TopHat Panels,1,1,1,1,TopHat Panels,voron-0.1
TopHat Panels (OPTIONAL),1,1,1,1,TopHat Panels (OPTIONAL),voron-0
USB Cable A-male Mini B-male (1 Included with SKR Mini),1,1,1,1,USB Cable A-male Mini B-male (1 Included with SKR Mini),voron-switchwire
V0-Display,1,1,1,1,V0-Display,voron-0.2
V6 Hotend Sock,1,1,1,1,V6 Hotend Sock,optional-parts
V6 and/or Mosquito Brass Nozzle,1,1,1,1,V6 and/or Mosquito Brass Nozzle,optional-parts
V6 and/or Mosquito Copper Nozzle,1,1,1,1,V6 and/or Mosquito Copper Nozzle,optional-parts
V6 and/or Mosquito Steel Nozzle,1,1,1,1,V6 and/or Mosquito Steel Nozzle,optional-parts
V6/Volcano Heatsink,1,1,1,1,V6/Volcano Heatsink,optional-parts
V6/Volcano Titanium Heatbreak,1,1,1,1,V6/Volcano Titanium Heatbreak,optional-parts
Volcano Brass Nozzle,1,1,1,1,Volcano Brass Nozzle,optional-parts
Volcano Copper Nozzle,1,1,1,1,Volcano Copper Nozzle,optional-parts
Volcano Hotend Sock,1,1,1,1,Volcano Hotend Sock,optional-parts
Volcano Steel Nozzle,1,1,1,1,Volcano Steel Nozzle,optional-parts
Voron V0.1 Kit - SIBOOR,1,1,1,1,Voron V0.1 Kit - SIBOOR,voron-0.2
medium strength thread locker,1,1,1,1,medium strength thread locker,voron-0.2
