name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
Bondtech Drive Gear Set,3,3,3,1,Bondtech Drive Gear Set,jetpack mobius-3.1 voron-m4
Bowden Tubing 4mmOD 2mmID (1 meter),3,3,3,1,Bowden Tubing 4mmOD 2mmID (1 meter),voron-0 voron-0.1 voron-0.2
M2x8 SHCS,3,3,3,1,M2x8 SHCS,voron-0 voron-0.1 voron-0.2
"Omron TL-Q5MC2 - NPN, NC, 5mm Sense",3,3,3,1,"Omron TL-Q5MC2 - NPN, NC, 5mm Sense",optional-parts voron-switchwire voron-trident
BAT85 Diode,6,2,2,1,BAT85 Diode,voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
Fuse Medium Time Delay Acting 8A 250V Holder Cartridge 5 X 20mm Glass,6,2,2,1,Fuse Medium Time Delay Acting 8A 250V Holder Cartridge 5 X 20mm Glass,voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
M3 Washer,6,2,1,2,M3 Washer | M3 washer,stealthburner voron-1.8 voron-2.2 voron-2.4 voron-m4 voron-trident
ZF - Rocker Switches DPST 16A ON-OFF,6,2,2,1,ZF - Rocker Switches DPST 16A ON-OFF,voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
Fork Spade Terminal,5,2,2,1,Fork Spade Terminal,voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
MicroFit Connector Plug 2 Position (43640-0201),5,2,2,1,MicroFit Connector Plug 2 Position (43640-0201),voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
MicroFit Connector Plug 4 Position (43640-0401),5,2,2,1,MicroFit Connector Plug 4 Position (43640-0401),voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
MicroFit Connector Receptacle 2 Position (43645-0200),5,2,2,1,MicroFit Connector Receptacle 2 Position (43645-0200),voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
MicroFit Connector Receptacle 4 Position (43645-0400),5,2,2,1,MicroFit Connector Receptacle 4 Position (43645-0400),voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
"Nylon Cable Ties 4""",5,2,2,1,"Nylon Cable Ties 4""",voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
5x30mm Shaft,4,2,2,1,5x30mm Shaft,voron-1.8 voron-2.2 voron-2.4 voron-trident
60x60x20 Axial Fan (24V),4,2,2,1,60x60x20 Axial Fan (24V),voron-1.8 voron-2.4 voron-switchwire voron-trident
Bowden Tube,4,2,2,1,Bowden Tube,mobius-3.1 voron-1.8 voron-2.2 voron-trident
GT2 Belt Loop (6mm wide) - 188mm,4,2,2,1,GT2 Belt Loop (6mm wide) - 188mm,mobius-3.1 voron-2.2 voron-2.4 voron-m4
M5x40 SHCS,4,2,2,1,M5x40 SHCS,voron-1.8 voron-2.2 voron-2.4 voron-switchwire
Misumi HFSB5-2020 (Size depends - use configurator),4,2,2,1,Misumi HFSB5-2020 (Size depends - use configurator),voron-1.8 voron-2.2 voron-2.4 voron-trident
Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR,4,2,2,1,Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR,voron-1.6.2 voron-1.8 voron-2.2 voron-trident
5x10x1 Shim Ring,3,2,2,1,5x10x1 Shim Ring,voron-2.2 voron-2.4 voron-switchwire
7mm x 7mm cable chain (less than 1/2 meter needed),3,2,2,1,7mm x 7mm cable chain (less than 1/2 meter needed),voron-0 voron-0.1 voron-0.2
BMG Extruder Insides,3,2,2,1,BMG Extruder Insides,afterburner stealthburner voron-0
DC/DC PSU/buck converter - 24V to 5V,3,2,2,1,DC/DC PSU/buck converter - 24V to 5V,voron-0 voron-0.1 voron-0.2
DuPont Female Pin,3,2,2,2,DuPont Female Pin | Dupont Female Pin,voron-1.8 voron-2.2 voron-trident
F623-RS Bearing,3,2,2,1,F623-RS Bearing,voron-0 voron-0.1 voron-0.2
F695 2RS Bearing,3,2,2,1,F695 2RS Bearing,voron-2.2 voron-2.4 voron-switchwire
Fuse Medium Time Delay Acting 4A 250V Holder Cartridge 5 X 20mm Glass,3,2,2,1,Fuse Medium Time Delay Acting 4A 250V Holder Cartridge 5 X 20mm Glass,voron-2.4 voron-switchwire voron-trident
GT2 20T (6mm wide) Toothed Idler (5mm bore),3,2,2,1,GT2 20T (6mm wide) Toothed Idler (5mm bore),voron-1.8 voron-2.4 voron-trident
Linear Rail MGN9H ** See Configurator for length **,3,2,2,1,Linear Rail MGN9H ** See Configurator for length **,voron-1.8 voron-2.2 voron-2.4
Little Rubber Feet (14x11x9mm),3,2,2,1,Little Rubber Feet (14x11x9mm),voron-0 voron-0.1 voron-0.2
M2 Nut,3,2,2,1,M2 Nut,voron-0 voron-0.1 voron-0.2
M3x10 BHCS,3,2,2,1,M3x10 BHCS,voron-0 voron-0.1 voron-0.2
M3x12 BHCS,3,2,2,1,M3x12 BHCS,voron-0 voron-0.1 voron-0.2
M3x25 BHCS,3,2,2,1,M3x25 BHCS,voron-0 voron-0.1 voron-0.2
M3x30 BHCS,3,2,2,1,M3x30 BHCS,voron-0 voron-0.1 voron-0.2
M3x35 BHCS,3,2,2,1,M3x35 BHCS,voron-0 voron-0.1 voron-0.2
M3x40 BHCS,3,2,2,1,M3x40 BHCS,voron-0 voron-0.1 voron-0.2
M3x8 BHCS,3,2,2,1,M3x8 BHCS,voron-0 voron-0.1 voron-0.2
MGN7H Linear Rail with Carriage (150mm),3,2,2,1,MGN7H Linear Rail with Carriage (150mm),voron-0 voron-0.1 voron-0.2
Makerbeam XL 15x15 200mm,3,2,2,1,Makerbeam XL 15x15 200mm,voron-0 voron-0.1 voron-0.2
Makerbeam XL M3 t-nut,3,2,2,2,Makerbeam XL M3 t-nut | Makerbeam XL M3 t-nut (15 x 5.5 x 1.5mm),voron-0 voron-0.1 voron-0.2
Raspberry Pi 3,3,2,1,2,Raspberry Pi 3 | Raspberry Pi 3 (or better),voron-0 voron-0.1 voron-0.2
T8 flange Nut 8mm Lead --anti-backlash prefered-- (SEE NOTE SECTION),3,2,2,1,T8 flange Nut 8mm Lead --anti-backlash prefered-- (SEE NOTE SECTION),voron-0 voron-0.1 voron-0.2
TycoElectronics - 10EGG1-1 (Normal) or 10EHG1-1 (Medical): Filtered Power Inlet,3,2,2,1,TycoElectronics - 10EGG1-1 (Normal) or 10EHG1-1 (Medical): Filtered Power Inlet,voron-2.4 voron-switchwire voron-trident
USB Cable A-male B-male,3,2,1,2,USB Cable A-male B-male | USB Cable A-male B-male (Included with SKR),voron-1.6.2 voron-2.2 voron-2.4
3010 axial fan 24v,2,2,2,2,3010 axial fan 24V | 3010 axial fan 24v,voron-0 voron-0.2
40x40x20 Axial Fan (12V),2,2,2,1,40x40x20 Axial Fan (12V),voron-1.6.2 voron-2.2
50x50x15 Centrifugal Fan,2,2,1,2,50x50x15 Centrifugal Fan | 50x50x15 Centrifugal Fan (24V),stealthburner voron-trident
A4988 Stepper Motor Driver,2,2,2,1,A4988 Stepper Motor Driver,voron-1.6.2 voron-2.2
Arduino Mega 2560,2,2,2,1,Arduino Mega 2560,voron-1.6.2 voron-2.2
BMG Extruder Hardware Kit (if configured with direct feed),2,2,2,2,BMG Extruder Components Kit (if configured with direct feed) | BMG Extruder Hardware Kit (if configured with direct feed),voron-2.4 voron-switchwire
BMG Extruder Kit (used for gears),2,2,2,1,BMG Extruder Kit (used for gears),voron-1.8 voron-trident
Bondtech Drive Gear Kit,2,2,2,1,Bondtech Drive Gear Kit,afterburner voron-0
Bowden Clip,2,2,1,2,Bowden Clip | Bowden Clips,mobius-3.1 voron-m4
Bowden Tube 4mm OD/2mm ID,2,2,2,2,"Bowden Tube (4mm OD, 2mm ID) | Bowden Tube 4mm OD/2mm ID",jetpack voron-switchwire
E3D V6 Bowden Hotend Kit (24V),2,2,2,1,E3D V6 Bowden Hotend Kit (24V),voron-1.8 voron-trident
GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,2,2,2,1,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,voron-2.2 voron-2.4
HFSB5-2020-290,2,2,2,1,HFSB5-2020-290,voron-1.8 voron-trident
HFSB5-2020-330,2,2,2,1,HFSB5-2020-330,voron-1.8 voron-trident
HFSB5-2020-340,2,2,2,2,HFSB5-2020-340 | Misumi 2020 x 340mm - HFSB5-2020-340,voron-switchwire voron-trident
HFSB5-2020-380,2,2,2,1,HFSB5-2020-380,voron-1.8 voron-trident
HFSB5-2020-420-TPW,2,2,2,1,HFSB5-2020-420-TPW,voron-1.8 voron-trident
IEC320 C14 Inlet - Push-fit - w/ Rocker Switch & Fuse,2,2,2,1,IEC320 C14 Inlet - Push-fit - w/ Rocker Switch & Fuse,voron-2.4 voron-switchwire
M3 Hammerhead T-Nut,2,2,1,2,M3 Hammer Head T-Nuts | M3 Hammerhead T-Nut,voron-2.4 voron-trident
M3 Roll-in T-Nut,2,2,2,1,M3 Roll-in T-Nut,voron-1.8 voron-trident
Micro USB Power Cable,2,2,2,1,Micro USB Power Cable,voron-1.6.2 voron-2.2
Mini 12864 Display (Type B),2,2,2,1,Mini 12864 Display (Type B),voron-2.4 voron-switchwire
NEMA17 Motor 17HS15-1504S1,2,2,2,1,NEMA17 Motor 17HS15-1504S1,voron-m4 voron-switchwire
RAMPs 1.4,2,2,2,1,RAMPs 1.4,voron-1.6.2 voron-2.2
RaspberryPi4,2,2,2,1,RaspberryPi4,voron-2.4 voron-switchwire
RepRap Full Graphics Display,2,2,2,1,RepRap Full Graphics Display,voron-1.6.2 voron-2.2
SKR 1.4,2,2,2,1,SKR 1.4,voron-1.8 voron-2.4
TMC 2209 Drivers,2,2,2,1,TMC 2209 Drivers,voron-1.8 voron-trident
Thermal Fuse 125C,2,2,2,1,Thermal Fuse 125C,voron-0 voron-0.1
Threaded v6 Hotend kit 24V (All Metal),2,2,2,1,Threaded v6 Hotend kit 24V (All Metal),voron-0 voron-0.1
USB C Power Cable,2,2,2,1,USB C Power Cable,voron-2.4 voron-switchwire
VHB tape (20mm or so is good),2,2,2,1,VHB tape (20mm or so is good),voron-0 voron-0.1
Voron V0.1 Kit - FYSETC,2,2,1,2,Voron V0.1 Kit - FYSETC | Voron V0.1 Kit - FYSTECH,voron-0.1 voron-0.2
