id,name,category,standard,coverage,scope,base_product,machining,n_tabs,tabs,current_tabs,n_live_links,vendors,text_only_sources,aliases,notes,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,link_10,link_11,link_1_url,link_2_url,link_3_url,link_4_url,link_5_url,link_6_url,link_7_url,link_8_url,link_9_url,link_10_url,link_11_url
hotend.volcano-copper-nozzle,Volcano Copper Nozzle,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,,,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/4000002246568.html,,,,,,,,,,
hotend.volcano-steel-nozzle,Volcano Steel Nozzle,Hotend,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,"These are suggested for use on filled filaments, you may need to increase temperatures which may result in suboptimal print results or additional tuning requirements. Your Mileage May Vary",,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32879512832.html,,,,,,,,,,
kits.voron-v0-1-kit-formbot,Voron V0.1 Kit - FORMBOT,Kits,,all_live,,,,2,voron-0.2 voron-0.1,voron-0.2,1,AliExpress,,,,,,1,,,,,,,,,,,1,,,,Formbot,,,,,,,,,,,https://s.click.aliexpress.com/e/_9xE4rJ,,,,,,,,,,
kits.voron-v0-1-kit-fysetc,Voron V0.1 Kit - FYSETC,Kits,,none_live,,,,2,voron-0.2 voron-0.1,voron-0.2,0,,,Voron V0.1 Kit - FYSTECH,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
kits.voron-v0-1-kit-ldo,Voron V0.1 Kit - LDO,Kits,,partial,,,,2,voron-0.2 voron-0.1,voron-0.2,1,mnlasercutting.com,,,,,,1,,,,,,,,,,,1,,,,MNLaserCutting,,,,,,,,,,,https://mnlasercutting.com/shop/p/voron-zero-ldo-kit,,,,,,,,,,
kits.voron-v0-1-kit-siboor,Voron V0.1 Kit - SIBOOR,Kits,,none_live,,,,1,voron-0.2,voron-0.2,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.3m-5952-vhb,3m 5952 VHB,Misc,,none_live,,,,2,voron-0.2 voron-0.1,voron-0.2,0,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
misc.3m-vhb-tape,3M VHB Tape,Misc,,all_live,,,,1,optional-parts,optional-parts,1,Amazon,,,,,,,,,,1,,,,,,,,,,,Amazon,,,,,,,,,,,https://www.amazon.com/dp/B00GTAB20M,,,,,,,,,,
misc.6mm-x-3mm-round-neodymium-magnets,6mm x 3mm Round Neodymium Magnets,Misc,,none_live,,,,6,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-0 voron-0.1,voron-2.4 voron-trident voron-0.2 voron-switchwire,0,,,,Magnets for the front door,8,8,8,8,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
misc.6x3mm-magnet,6x3mm Magnet,Misc,,none_live,,,,1,stealthburner,stealthburner,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.bmg-extruder-hardware-kit-if-configured-with-direct-feed,BMG Extruder Hardware Kit (if configured with direct feed),Misc,,all_live,,,,2,voron-2.4 voron-switchwire,voron-2.4 voron-switchwire,2,AliExpress,,BMG Extruder Components Kit (if configured with direct feed),,1,,,1,,,,,,,,,,,,,,Aliexpress (TL),AliExpress,,,,,,,,,,https://www.aliexpress.com/item/4000021186440.html,https://s.click.aliexpress.com/e/_Alji4k,,,,,,,,,
misc.bowden-coupler-for-4mm-od-tube,Bowden Coupler (for 4mm OD tube),Misc,,partial,,,,1,voron-2.4,voron-2.4,1,McMaster-Carr,,,,1,,,,,,,,,,,,,,,,,McMaster-Carr,,,,,,,,,,,https://www.mcmaster.com/5449K171/,,,,,,,,,,
